ACCESSION_NUMBER	HOLDING_ID	ISSUER_NAME	ISSUER_LEI	ISSUER_TITLE	ISSUER_CUSIP	BALANCE	UNIT	OTHER_UNIT_DESC	CURRENCY_CODE	CURRENCY_VALUE	EXCHANGE_RATE	PERCENTAGE	PAYOFF_PROFILE	ASSET_CAT	OTHER_ASSET	ISSUER_TYPE	OTHER_ISSUER	INVESTMENT_COUNTRY	IS_RESTRICTED_SECURITY	FAIR_VALUE_LEVEL	DERIVATIVE_CAT	PRICE_PER_UNIT
0001752724-20-040307	21069010	Acceleron Pharma Inc	529900TQRID2UY164805	Acceleron Pharma Inc	00434H108	512041	NS		USD	27148413.82		.62727961045	Long	EC		CORP		US	N	1		53.020000
0001752724-20-040307	21069017	Adverum Biotechnologies Inc	529900ZEDOOZL1EWHJ89	Adverum Biotechnologies Inc	00773U108	1984164	NS		USD	22857569.28		.528137196112	Long	EC		CORP		US	N	1		11.520000
0001752724-20-040307	21069019	Rhythm Pharmaceuticals Inc	529900JPNWXQ8DPLA551	Rhythm Pharmaceuticals Inc	76243J105	385479	NS		USD	8850597.84		.204498119195	Long	EC		CORP		US	N	1		22.960000
0001752724-20-040307	21069022	Bluebird Bio Inc	N/A	Bluebird Bio Inc	09609G100	808320	NS		USD	70930080		1.638880018797	Long	EC		CORP		US	N	1		87.750000
0001752724-20-040307	21069030	Dicerna Pharmaceuticals Inc	549300CTZMJMPH28WN39	Dicerna Pharmaceuticals Inc	253031108	542956	NS		USD	11961320.68		.276373147483	Long	EC		CORP		US	N	1		22.030000
0001752724-20-040307	21069034	Alkermes PLC	N/A	Alkermes PLC	000000000	2663239	NS		USD	54330075.6		1.25532743401	Long	EC		CORP		IE	N	1		20.400000
0001752724-20-040307	21069037	Gossamer Bio Inc	549300ZOC0N2W6PSFR58	Gossamer Bio Inc	38341P102	789860	NS		USD	12345511.8		.285250102789	Long	EC		CORP		US	N	1		15.630000
0001752724-20-040307	21069043	Athenex Inc	5493001V4L0Q5EPPOH52	Athenex Inc	04685N103	1113553	NS		USD	17003954.31		.392886078222	Long	EC		CORP		US	N	1		15.270000
0001752724-20-040307	21068966	State Street Global Advisors	5493008BJIBKQ5KTIF74	State Street Navigator Securities Lending Government Money Market Portfolio	857492706	368737516.25	NS		USD	368737516.25		8.519890962523	Long	STIV		RF		US	N	1		1.000000
0001752724-20-040307	21069046	TG Therapeutics Inc	529900X21UKABN9NJ529	TG Therapeutics Inc	88322Q108	1684027	NS		USD	18692699.7		.431905505192	Long	EC		CORP		US	N	1		11.100000
0001752724-20-040307	21068970	Cytokinetics Inc	549300BE5DY1HW7IHA64	Cytokinetics Inc	23282W605	887530	NS		USD	9416693.3		.217578078193	Long	EC		CORP		US	N	1		10.610000
0001752724-20-040307	21068972	Intercept Pharmaceuticals Inc	N/A	Intercept Pharmaceuticals Inc	45845P108	607734	NS		USD	75310397.28		1.740089751906	Long	EC		CORP		US	N	1		123.920000
0001752724-20-040307	21069048	Radius Health Inc	549300EV6I2M6E0YVT27	Radius Health Inc	750469207	1318323	NS		USD	26577391.68		.614085817696	Long	EC		CORP		US	N	1		20.160000
0001752724-20-040307	21069050	Kodiak Sciences Inc	N/A	Kodiak Sciences Inc	50015M109	184832	NS		USD	13298662.4		.30727319191	Long	EC		CORP		US	N	1		71.950000
0001752724-20-040307	21069054	Avrobio Inc	N/A	Avrobio Inc	05455M100	236643	NS		USD	4763623.59		.110066244373	Long	EC		CORP		US	N	1		20.130000
0001752724-20-040307	21069056	Biogen Inc	W8J5WZB5IY3K0NDQT671	Biogen Inc	09062X103	244388	NS		USD	72517251.24		1.675552517004	Long	EC		CORP		US	N	1		296.730000
