ticker	sponsor_name	nct_id	phase	overall_status	brief_title	study_first_submitted_date	start_date	intervention_type	intervention_name	conditions	data_source	drug_chembl_id	target_chembl_id	action_type	target_name	gene_symbol	target_type
ABBV	AbbVie	NCT04178902	PHASE1	TERMINATED	A Study of the Safety and Tolerability of ABBV-467 in Adult Participants With Relapsed/Refractory (R/R) Multiple Myeloma	2019-11-25	2020-05-19	DRUG	ABBV-467	Cancer | Multiple Myeloma (MM)	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03145948	PHASE1	TERMINATED	A Study to Evaluate the Pharmacokinetics, Safety and Tolerability of ABBV-553 in Healthy Volunteers and in Subjects With Psoriasis and Efficacy of ABBV-553 in Subjects With Psoriasis	2017-05-05	2017-05-09	DRUG	ABBV-553	Psoriasis	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03082209	PHASE1	COMPLETED	A Study of the Safety and Tolerability of ABBV-621 in Participants With Previously-Treated Solid Tumors and Hematologic Malignancies	2017-03-14	2017-03-20	DRUG	ABBV-621	Advanced Solid Tumors | Cancer | Hematologic Malignancies	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03360006	PHASE1	TERMINATED	A Study Evaluating the Safety and Pharmacokinetics of ABBV-744 in Participants With Relapsed/Refractory Acute Myeloid Leukemia (AML) Cancer	2017-11-28	2018-03-16	DRUG	ABBV-744	Acute Myeloid Leukemia (AML)	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02462525	PHASE1	TERMINATED	Dose-Escalation Study of ABBV-838, an Antibody Drug Conjugate, in Subjects With Relapsed and Refractory Multiple Myeloma	2015-05-26	2015-05-06	DRUG	ABBV-838	Multiple Myeloma	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02951117	PHASE1	WITHDRAWN	A Study of Venetoclax and ABBV-838 Combination Therapy With Dexamethasone in Participants With Multiple Myeloma Whose Cancer Has Come Back or Had No Response to Recent Cancer Treatment	2016-10-28	2017-08-31	DRUG	ABBV-838	Multiple Myeloma	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03413319	PHASE1	COMPLETED	Extension Study of ABBV-8E12 in Patients With Progressive Supranuclear Palsy (PSP) Who Completed Study C2N-8E12-WW-104	2018-01-23	2018-04-17	DRUG	ABBV-8E12	Progressive Supranuclear Palsy (PSP)	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03818542	PHASE1	TERMINATED	A Study to Assess the Effects of Multiple Study Drug Regimens in Subjects With Newly Diagnosed Locally Advanced Head and Neck Squamous Cell Carcinoma	2019-01-24	2020-01-22	DRUG	ABBV-927	Head and Neck Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT02988960	PHASE1	ACTIVE_NOT_RECRUITING	A Study of ABBV-927 and ABBV-181, an Immunotherapy, in Participants With Advanced Solid Tumors	2016-12-08	2017-02-22	DRUG	ABBV-927	Advanced Solid Tumors Cancer	AACT/ClinicalTrials.gov						
ABBV	AbbVie	NCT03893955	PHASE1	ACTIVE_NOT_RECRUITING	A Study to Determine the Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of ABBV-927 With ABBV-368, Budigalimab (ABBV-181) and/or Chemotherapy in Participants With Locally Advanced or Metastatic Solid Tumors	2019-03-27	2019-05-21	DRUG	ABBV-927	Advanced Solid Tumors | Cancer | Metastatic Solid Tumors | Non-small-cell-lung-cancer (NSCLC) | Triple-Negative Breast Cancer (TNBC)	AACT/ClinicalTrials.gov						
