ticker	company	was_in_xbi_jan2020	company_type	drug_name	chembl_id	target_gene	gene_source	indication	ensembl_id	efo_id	n_scoreable_pairs	n_gs_pairs	best_genetic_assoc_score	n_confirmed_pairs	n_confirmed_gs_pairs	best_confirmed_score	lead_phase	lead_score	lead_gene	lead_efo_id	lead_conditions	lead_ot_source	lead_evidence_predates	lead_confirmed_pre_2020	lead_validation_method	best_pair_ga_score	ot_score_source_best	ot_score_sources_all	evidence_predates_2020	genetic_datasources	is_gs	is_gs_at_0_10	is_gs_at_0_50	is_gs_at_0_80	is_gs_at_0_95	mendelian_only_gs	return_total_pct	price_start	price_end	date_start	date_end	return_source	return_estimated	outcome	acquirer	is_oncology_primary	has_combination_rows	pipeline_source
MYGN	Myriad Genetics Inc	True	biotech	Niraparib	CHEMBL1094636	PARP1	chembl	Ovarian Neoplasms	ENSG00000143799	EFO_0001075	6	6	0.953196	2	2	0.625	PHASE3	0.625	CYP17A1	EFO_0001663	Metastatic Castration-resistant Prostate Cancer	ot_2020	True	True	tier1_ot2020	0.953196	ot_recent_fallback	ot_recent_fallback,ot_2020	uncertain	genomics_england,eva,gene_burden	True	True	True	False	False	True	-84.31	27.35	4.29	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
NBIX	Neurocrine Biosciences Inc	True	biotech	Valbenazine	CHEMBL2364639	SLC18A2	chembl	Tardive Dyskinesia (TD)	ENSG00000165646	EFO_0004280	1	1	0.7	1	1	0.7	PHASE4	0.7	SLC18A2	EFO_0004280	Tardive Dyskinesia (TD)	ot_2020	True	True	tier1_ot2020	0.7	ot_2020	ot_2020	True	eva,uniprot	True	True	True	False	False	True	18.77	108.3	128.63	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
NXTC	NextCure Inc	True	biotech	NC318			missing	Advanced or Metastatic Solid Tumors | Breast Cancer | Cholangiocarcinoma | CRC | Endometrial Cancer | Head and Neck Squa		EFO_0000335	0	0		0	0									False							False	False	False	False	False	False	-97.95	668.16	13.73	2020-01-02	2026-02-20	yahoo_finance	False	active		True	False	ctgov
OPK	OPKO Health Inc	True	biotech	MOD-5014		F9	monogenic_causal	Hemophilia A | Hemophilia B	ENSG00000101981	MONDO_0010602	1	1	0.998272	1	1	0.998272	PHASE1	0.998272	F9	MONDO_0010602	Hemophilia A | Hemophilia B	ot_recent_fallback	uncertain	True	mendelian_ancestor	0.998272	ot_recent_fallback	ot_recent_fallback	uncertain	uniprot_variants,eva,gene_burden,genomics_england,uniprot_literature	True	True	True	True	True	False	-19.46	1.49	1.2	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
PBYI	Puma Biotechnology Inc	True	biotech	Neratinib	CHEMBL180022	EGFR	chembl	Early Stage HER2+ Breast Cancer	ENSG00000146648	EFO_0000305	3	3	0.981276	1	1	0.65	PHASE2	0.65	ERBB4	EFO_0000305	Early Stage HER2+ Breast Cancer	ot_2020	True	True	tier1_ot2020	0.981276	ot_recent_fallback	ot_recent_fallback,ot_2020	uncertain	gene_burden,genomics_england,eva,uniprot_variants,uniprot_literature	True	True	True	False	False	True	-18.98	8.43	6.83	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
PGNX	Progenics Pharmaceuticals Inc	True	biotech	Enzalutamide	CHEMBL1082407	AR	chembl	Cancer of the Prostate | Castration-resistant Prostate Cancer | Metastatic Prostate Cancer | Progressive mCRPC | Prostat	ENSG00000169083	EFO_0000625	1	1	0.827461	0	0									False		0.827461	ot_recent_fallback	ot_recent_fallback	uncertain	uniprot_variants,genomics_england,uniprot_literature	False	False	False	False	False	False	3.6			2020-01-02		manual_research	True	acquired	Lantheus Holdings ($7.56/sh, Jun 2020)	True	False	ctgov
PRNB	Principia Biopharma Inc	True	biotech	PRN1371			missing	Metastatic Urothelial Carcinoma & Renal Pelvis & Ureter | Solid Tumors		EFO_0004282	0	0		0	0									False							False	False	False	False	False	False	90.3			2020-01-02		manual_research	True	acquired	Sanofi ($3.68B, Sep 2020)	True	True	ctgov
PRTA	Prothena Corp PLC	True	biotech	PRX002			missing	Parkinson's Disease		MONDO_0005180	0	0		0	0									False							False	False	False	False	False	False	-42.29	15.63	9.02	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
PTCT	PTC Therapeutics Inc	True	biotech	Ataluren	CHEMBL256997	DMD	chembl	Duchenne Muscular Dystrophy	ENSG00000198947	MONDO_0010679	1	1	0.949607	1	1	0.949607	PHASE2	0.949607	DMD	MONDO_0010679	Duchenne Muscular Dystrophy	ot_recent_fallback	uncertain	True	bq_direct	0.949607	ot_recent_fallback	ot_recent_fallback	uncertain	eva,genomics_england,uniprot_variants,orphanet,uniprot_literature,gene2phenotype	True	True	True	True	False	False	45.87	48.44	70.66	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
PTLA	Portola Pharmaceuticals Inc	True	biotech	Betrixaban	CHEMBL512351	F10	chembl	Bleeding	ENSG00000126218	MONDO_0009446	0	0		0	0									False							False	False	False	False	False	False	-36.8			2020-01-02		manual_research	True	acquired	Alexion Pharmaceuticals ($18/sh, Jul 2020)	False	True	ctgov
RARE	Ultragenyx Pharmaceutical Inc	True	biotech	UX003		GALNS	chembl	MPS VII | Mucopolysaccharidosis | Mucopolysaccharidosis VII | Sly Syndrome	ENSG00000141012	MONDO_0009661	1	1	0.981302	1	1	0.981302	PHASE3	0.981302	GALNS	MONDO_0009661	MPS VII | Mucopolysaccharidosis | Mucopolysaccharidosis VII | Sly Syndrome	ot_recent_fallback	uncertain	True	bq_direct	0.981302	ot_recent_fallback	ot_recent_fallback	uncertain	uniprot_variants,genomics_england,eva,gene2phenotype,uniprot_literature	True	True	True	True	True	False	-47.3	43.11	22.72	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
RARX	Ra Pharmaceuticals Inc	True	biotech	DCC-2618	CHEMBL4297618	KIT	chembl	Advanced Cancers | Advanced Systemic Mastocytosis | Gastrointestinal Stromal Tumors	ENSG00000157404	MONDO_0004992	17	17	0.977107	4	4	0.961687	PHASE3	0.961687	KIT	MONDO_0011719	Gastrointestinal Stromal Tumors	ot_recent_fallback	uncertain	True	bq_direct	0.977107	ot_recent_fallback	ot_recent_fallback	uncertain	gene_burden,gene2phenotype,eva	True	True	True	True	True	False	113.3			2020-01-02		manual_research	True	acquired	UCB ($48/sh, Apr 2020)	True	True	ctgov,monogenic_causal
RCKT	Rocket Pharmaceuticals Inc	True	biotech	RP-A501			missing	Danon Disease			0	0		0	0									False							False	False	False	False	False	False	-83.78	23.31	3.78	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
RDUS	Radius Health Inc	True	biotech	Abaloparatide Injection (80 mcg)			missing	Post Menopausal Osteoporosis		EFO_0003854	0	0		0	0									False							False	False	False	False	False	False	-42.9			2020-01-02		manual_research	True	acquired	Gurnet Point Capital ($10/sh, Jun 2022)	False	True	ctgov
REGN	Regeneron Pharmaceuticals Inc	True	biotech	Alirocumab	CHEMBL2109540	PCSK9	chembl	Heterozygous Familial Hypercholesterolemia	ENSG00000169174	EFO_0004911	16	15	1.0	7	6	1.0	PHASE4	0.97765	IL4R	MONDO_0004979	Asthma	ot_recent_fallback	uncertain	True	bq_direct	1.0	ot_2020	ot_recent_fallback,ot_2020	uncertain	uniprot_literature,genomics_england,eva,uniprot	True	True	True	True	True	False	110.24	370.8447	779.67	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
RYTM	Rhythm Pharmaceuticals Inc	True	biotech	Setmelanotide	CHEMBL3301624	MC4R	chembl	Pro-opiomelanocortin (POMC) Deficiency Obesity	ENSG00000166603	EFO_0001073	3	3	1.0	3	3	1.0	PHASE3	1.0	MC4R	EFO_0001073	Pro-opiomelanocortin (POMC) Deficiency Obesity	ot_2020	True	True	tier1_ot2020	1.0	ot_2020	ot_recent_fallback,ot_2020	True	uniprot_literature,ot_genetics_portal,genomics_england,phewas_catalog,eva	True	True	True	True	True	True	335.72	22.9	99.78	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
SAGE	Sage Therapeutics Inc	True	biotech	Placebo			missing	Essential Tremor		EFO_0001068	0	0		0	0									False							False	False	False	False	False	False	-93.0			2020-01-02		manual_research	True	acquired	Biogen ($7.22/sh, Dec 2023)	False	True	ctgov
SGEN	Seattle Genetics Inc	True	biotech	Niraparib	CHEMBL1094636	PARP1	chembl	Bladder Cancer | Urothelial Carcinoma	ENSG00000143799	MONDO_0004986	8	8	0.92525	5	5	0.683922	PHASE2	0.683922	FGFR1	EFO_0000335	Advanced Solid Tumors | Lymphoma, Non-Hodgkin | Multiple Myeloma	ot_recent_fallback	True	True	bq_ancestor	0.92525	ot_recent_fallback	ot_recent_fallback	uncertain	eva,uniprot_literature,gene_burden	True	True	True	False	False	True	109.7			2020-01-02		manual_research	True	acquired	Pfizer ($43B, Dec 2023)	True	True	ctgov
SGMO	Sangamo Therapeutics Inc	True	biotech	Busulfan		HBB	monogenic_causal	Sickle Cell Disease	ENSG00000244734	MONDO_0011382	1	1	0.846459	1	1	0.846459	PHASE1/PHASE2	0.846459	HBB	MONDO_0011382	Sickle Cell Disease	ot_recent_fallback	uncertain	True	bq_direct	0.846459	ot_recent_fallback	ot_recent_fallback	uncertain	genomics_england,uniprot_literature,uniprot_variants,orphanet	True	True	True	True	False	False	-95.37	8.21	0.38	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
SPPI	Spectrum Pharmaceuticals Inc	True	biotech	Pegfilgrastim	CHEMBL1201568	CSF3R	chembl	Breast Cancer | Neutropenia	ENSG00000119535	EFO_0000305	1	1	0.941624	0	0									False		0.941624	ot_recent_fallback	ot_recent_fallback	uncertain	genomics_england,eva,gene_burden,uniprot_literature,uniprot_variants	False	False	False	False	False	False	-74.0			2020-01-02		manual_research	True	acquired	Hanmi Pharmaceutical ($1.12/sh, Sep 2022)	True	True	ctgov
SRPT	Sarepta Therapeutics Inc	True	biotech	Casimersen	CHEMBL2108278	DMD	chembl	Duchenne Muscular Dystrophy	ENSG00000198947	MONDO_0010679	1	1	0.949607	1	1	0.949607	PHASE3	0.949607	DMD	MONDO_0010679	Duchenne Muscular Dystrophy	ot_recent_fallback	uncertain	True	bq_direct	0.949607	ot_recent_fallback	ot_recent_fallback	uncertain	eva,genomics_england,uniprot_variants,orphanet,uniprot_literature,gene2phenotype	True	True	True	True	False	False	-85.37	129.09	18.88	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
STML	Stemline Therapeutics Inc	True	biotech	Elacestrant			missing	Advanced ER+, HER2-Negative Breast Cancer			0	0		0	0									False							False	False	False	False	False	False	-7.4			2020-01-02		manual_research	True	acquired	Menarini ($12.50/sh, May 2021)	True	True	ctgov
TGTX	TG Therapeutics Inc	True	biotech	Umbralisib	CHEMBL3948730	ABL1	chembl	Chronic Lymphocytic Leukemia | Small Lymphocytic Lymphoma	ENSG00000097007	EFO_0000095	8	8	0.970363	1	1	0.922222	PHASE2/PHASE3	0.922222	BCL2	EFO_0000095	Chronic Lymphocytic Leukemia | Small Lymphocytic Lymphoma	ot_2020	True	True	tier1_ot2020	0.970363	ot_recent_fallback	ot_recent_fallback,ot_2020	uncertain	gene_burden,uniprot_literature	True	True	True	True	False	True	170.17	10.93	29.53	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
TPTX	Turning Point Therapeutics Inc	True	biotech	elzovantinib (TPX-0022)			missing	Advanced Solid Tumor | Metastatic Solid Tumors | MET Gene Alterations		EFO_0000335	0	0		0	0									False							False	False	False	False	False	False	25.0			2020-01-02		manual_research	True	acquired	Bristol Myers Squibb ($4.1B, Aug 2022)	True	False	ctgov
UTHR	United Therapeutics Corp	True	biotech	Oral Treprostinil	CHEMBL1237119	PTGIR	chembl	Pulmonary Hypertension Associated With Sickle Cell Disease	ENSG00000160013	EFO_0001361	3	2	0.962992	1	1	0.856705	PHASE2/PHASE3	0.856705	TOP1	EFO_0000702	Small Cell Lung Cancer	ot_recent_fallback	True	True	bq_ancestor	0.962992	ot_recent_fallback	ot_recent_fallback	True	eva,genomics_england	True	True	True	True	False	True	440.06	87.66	473.42	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
VCEL	Vericel Corp	True	biotech	Bone Repair Cells (BRCs)			missing	Single Level Posterolateral Spinal Fusion			0	0		0	0									False							False	False	False	False	False	False	117.78	17.49	38.09	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
VKTX	Viking Therapeutics Inc	True	biotech	Placebo			missing	Hip Fractures			0	0		0	0									False							False	False	False	False	False	False	290.31	7.95	31.03	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
VNDA	Vanda Pharmaceuticals Inc	True	biotech	tasimelteon	CHEMBL2103822	MTNR1A	chembl	Autism Spectrum Disorder | Circadian Rhythm Sleep Disorders | Non-24 Hour Sleep-Wake Disorder | Smith-Magenis Syndrome	ENSG00000168412	EFO_0003756	1	1	0.794844	0	0									False		0.794844	ot_recent_fallback	ot_recent_fallback	uncertain	eva,gene_burden	False	False	False	False	False	False	-64.4	16.18	5.76	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov
VRTX	Vertex Pharmaceuticals Inc	True	biotech	LUM/IVA	CHEMBL2103870	CFTR	chembl	Cystic Fibrosis	ENSG00000001626	MONDO_0009061	3	3	0.998892	3	3	0.998892	PHASE4	0.998892	CFTR	MONDO_0009061	Cystic Fibrosis	ot_recent_fallback	uncertain	True	bq_direct	0.998892	ot_recent_fallback	ot_recent_fallback	uncertain	eva,uniprot_variants,orphanet,genomics_england,gene_burden,uniprot_literature	True	True	True	True	True	False	117.32	219.45	476.9	2020-01-02	2026-02-20	yahoo_finance	False	active		False	True	ctgov,monogenic_causal
VYGR	Voyager Therapeutics Inc	True	biotech	VY-AADC01			missing	Basal Ganglia Disease | Brain Diseases | Central Nervous System Diseases | Idiopathic Parkinson's Disease | Movement Dis		EFO_0002508	0	0		0	0									False							False	False	False	False	False	False	-74.3	13.58	3.49	2020-01-02	2026-02-20	yahoo_finance	False	active		False	False	ctgov
XLRN	Acceleron Pharma Inc	True	biotech	ACE-011 or placebo			missing	Osteoporosis		EFO_0003882	0	0		0	0									False							False	False	False	False	False	False	236.4			2020-01-02		manual_research	True	acquired	Merck ($11.5B, Nov 2021)	False	True	ctgov
XNCR	Xencor Inc	True	biotech	AMG 424			missing	Relapsed/ Refractory Multiple Myeloma			0	0		0	0									False							False	False	False	False	False	False	-67.37	34.97	11.41	2020-01-02	2026-02-20	yahoo_finance	False	active		True	True	ctgov
